score,title,company,location,site,date_posted,job_url
6,Service Desk Specialist,Tata Communications Transformation Services (TCTS),"Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4468612479
5,SAP FSM Consultant,Talent Basket,"Dammam, Eastern, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4466662548
5,Managing Consultant SAP PI/PO,SAP BusinessObjects,"Riyadh, Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4468832733
5,Oracle Fusion ERP Project Manager,Devoteam,"Riyadh, Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4467189912
5,SAP Functional & Technical Consultant (Saudi Arabia),Eram Talent,"Al Khobar, Eastern, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4467328193
5,Sailpoint Business Analyst,TekWissen India,"Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4467553287
4,Senior / Lead Business Analyst – Asset Management,Linnk Group,"Riyadh, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4469122396
4,SAP SuccessFactors EC & ECP Expert,"Delta System & Software, Inc.","Dammam, Eastern, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4467839858
4,IBM Integration Developer (CP4I),InnovationTeam,"Riyadh, Riyadh, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4469533060
4,IT Support,JASARA PMC,"الرياض, S01, SA",indeed,2026-09-17,https://sa.indeed.com/viewjob?jk=93595112e9f2fb1b
4,IT Delivery Manager,Riyadh Cement Company,"Riyadh, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4469581571
4,SAP CML (Consumer & Mortgage Loans) Consultant,LanceSoft Middle East,"Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4467543447
4,"Sr. Consultant, SAP (Functional - HR)",Marafiq,"Jubail, Eastern, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4469588358
4,Business Analysts,Fakeeh Technologies Pvt Ltd,"جدة, S02, SA",indeed,2026-04-09,https://sa.indeed.com/viewjob?jk=21bc253de97e04ae
4,"Manager, Business & Data Analytics",Olayan Financing Company,"Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4466537986
3,Backend Engineer – Healthcare Integrations & Systems,FluidAI Medical,"Riyadh, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4467880962
3,Oracle Cloud ERP Solution Architect,E-Solutions,"Jeddah, Makkah, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4469151111
3,Onsite Delivery Coordinator (SAP)– Cloud Application Services (CAS),JCA Associates,"Riyadh, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4466983501
3,CIM Data Modelling & Data Integration Expert – Electric Utility,Elia Grid International (EGI),"Riyadh, Riyadh, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4443829307
3,IT Analyst,Fakeeh Technologies Pvt Ltd,"جدة, S02, SA",indeed,2026-02-25,https://sa.indeed.com/viewjob?jk=9dfb3179d5b930b8
3,Nutanix Engineer / Networking IT Support Engineer (Break & Fix Support),ITproposal,"Riyadh, Riyadh, Saudi Arabia",linkedin,2026-09-18,https://www.linkedin.com/jobs/view/4469174520
3,Technical Support Engineer,Almaalim int. Co. LTD,"Riyadh, Saudi Arabia",linkedin,,https://www.linkedin.com/jobs/view/4460493253
3,Technical Support Representative,Tamkeen Technologies,"Jeddah, Makkah, Saudi Arabia",linkedin,2026-09-17,https://www.linkedin.com/jobs/view/4466268721
3,"Senior Sales Manager, Enterprise KSA",Amazon Web Services,"الرياض, S01, SA",indeed,2026-09-16,https://sa.indeed.com/viewjob?jk=a8cdb80ff5fb6f2d
3,Microsoft Dynamics 365 CRM specialist,Future Face,"الرياض, S01, SA",indeed,2026-09-17,https://sa.indeed.com/viewjob?jk=d7439eb24b9d03c1
